Departamento,Municipio,total_obs,total_hab,votos_si,votos_no,votos_validos,votos_nomarcados,votos_nulos
CUNDINAMARCA,FOMEQUE,3966,9437,1126,2777,3903,25,38
CUNDINAMARCA,FOSCA,2022,5483,438,1565,2003,8,11
CUNDINAMARCA,FUNZA,31140,60731,13403,17147,30550,56,534
CUNDINAMARCA,FUQUENE,1646,3913,773,828,1601,12,33
CUNDINAMARCA,FUSAGASUGA,41941,96948,17890,23323,41213,155,573
CUNDINAMARCA,GACHALA,1593,5230,736,793,1529,21,43
CUNDINAMARCA,GACHANCIPA,4691,9080,1718,2816,4534,44,113
CUNDINAMARCA,GACHETA,3193,9217,1070,2036,3106,32,55
CUNDINAMARCA,GAMA,1191,3103,540,609,1149,24,18
CUNDINAMARCA,GIRARDOT,33639,81967,12251,20971,33222,83,334
CUNDINAMARCA,GRANADA,2247,5571,1022,1171,2193,15,39
CUNDINAMARCA,GUACHETA,3566,8587,1424,2003,3427,36,103
CUNDINAMARCA,GUADUAS,8502,22188,3388,4854,8242,79,181
CUNDINAMARCA,GUASCA,4472,10241,1555,2836,4391,21,60
CUNDINAMARCA,GUATAQUI,732,2205,402,307,709,10,13
CUNDINAMARCA,GUATAVITA,2136,4945,811,1279,2090,14,32
CUNDINAMARCA,GUAYABAL DE SIQUIMA,1557,3606,750,770,1520,9,28
CUNDINAMARCA,GUAYABETAL,2028,4467,513,1470,1983,9,36
CUNDINAMARCA,GUTIERREZ,1343,2691,480,831,1311,5,27
CUNDINAMARCA,JERUSALEN,888,2700,474,391,865,16,7
CUNDINAMARCA,JUNIN,1769,5524,694,1023,1717,13,39
CUNDINAMARCA,LA CALERA,9292,20312,4885,4267,9152,26,114
CUNDINAMARCA,LA MESA,8806,23470,4356,4291,8647,36,123
CUNDINAMARCA,LA PALMA,2947,8708,1714,1088,2802,71,74
CUNDINAMARCA,LA PEÑA,2083,5608,514,1498,2012,41,30
CUNDINAMARCA,LA VEGA,5399,12184,2408,2863,5271,17,111
CUNDINAMARCA,LENGUAZAQUE,2636,6966,1011,1532,2543,16,77
CUNDINAMARCA,MACHETA,1825,6109,762,1008,1770,20,35
CUNDINAMARCA,MADRID,28695,54897,10555,17404,27959,95,641
CUNDINAMARCA,MANTA,1739,4110,848,840,1688,17,34
CUNDINAMARCA,MEDINA,3034,6771,1042,1899,2941,39,54
CUNDINAMARCA,MOSQUERA,30102,57821,13047,16521,29568,86,448
CUNDINAMARCA,NARIÑO,748,2535,353,388,741,3,4
CUNDINAMARCA,NEMOCON,4486,8960,1603,2758,4361,35,90
CUNDINAMARCA,NILO,2531,6256,1397,1107,2504,9,18
CUNDINAMARCA,NIMAIMA,1326,3153,540,750,1290,12,24
CUNDINAMARCA,NOCAIMA,2191,5169,1252,886,2138,13,40
CUNDINAMARCA,PACHO,7904,20502,3726,3959,7685,76,143
CUNDINAMARCA,PAIME,1499,4564,766,692,1458,19,22
CUNDINAMARCA,PANDI,1411,4122,741,638,1379,9,23
CUNDINAMARCA,PARATEBUENO (LA NAGUAYA),3066,6946,1227,1749,2976,21,69
CUNDINAMARCA,PASCA,2827,7605,1567,1176,2743,20,64
CUNDINAMARCA,PUERTO SALGAR,4395,12932,1421,2852,4273,28,94
CUNDINAMARCA,PULI,938,2856,437,466,903,11,24
CUNDINAMARCA,QUEBRADANEGRA,1651,3996,480,1137,1617,13,21
CUNDINAMARCA,QUETAME,2352,5408,741,1551,2292,7,53
CUNDINAMARCA,QUIPILE,2095,6135,745,1302,2047,22,26
CUNDINAMARCA,RICAURTE,3795,10455,1688,2076,3764,14,17
CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,3360,8637,1704,1607,3311,16,33
CUNDINAMARCA,SAN BERNARDO,2765,7804,1286,1409,2695,18,52
CUNDINAMARCA,SAN CAYETANO,1364,4319,651,691,1342,13,9
CUNDINAMARCA,SAN FRANCISCO,3321,8389,1180,2099,3279,10,32
CUNDINAMARCA,SAN JUAN DE RIOSECO,3451,8973,1523,1853,3376,34,41
CUNDINAMARCA,SASAIMA,3320,8594,1137,2130,3267,18,35
CUNDINAMARCA,SESQUILE,3880,7764,1488,2266,3754,17,109
CUNDINAMARCA,SIBATE,10578,24060,4132,6222,10354,45,179
CUNDINAMARCA,SILVANIA,6480,16551,3045,3323,6368,44,68
CUNDINAMARCA,SIMIJACA,3367,8608,1179,2097,3276,26,65
CUNDINAMARCA,SOACHA,90969,201745,42449,46767,89216,289,1464
CUNDINAMARCA,SOPO,9243,16285,4579,4500,9079,27,137
CUNDINAMARCA,SUBACHOQUE,6019,11191,1838,4070,5908,21,90
CUNDINAMARCA,SUESCA,4738,9730,1956,2620,4576,24,138
CUNDINAMARCA,SUPATA,1565,4154,574,942,1516,19,30
CUNDINAMARCA,SUSA,2094,5102,1048,949,1997,21,76
CUNDINAMARCA,SUTATAUSA,1615,3746,563,996,1559,21,35
CUNDINAMARCA,TABIO,7386,14659,3249,3983,7232,20,134
CUNDINAMARCA,TAUSA,2705,5720,737,1886,2623,19,63
CUNDINAMARCA,TENA,2308,6197,1238,1028,2266,19,23
CUNDINAMARCA,TENJO,6984,14029,2903,3968,6871,20,93
CUNDINAMARCA,TIBACUY,1508,3706,778,681,1459,29,20
CUNDINAMARCA,TIBIRITA,1064,3018,667,357,1024,31,9
CUNDINAMARCA,TOCAIMA,4680,12896,2351,2249,4600,20,60
CUNDINAMARCA,TOCANCIPA,12199,24441,4971,6865,11836,43,320
CUNDINAMARCA,TOPAIPI,1546,4060,825,656,1481,27,38
CUNDINAMARCA,UBALA,2727,8478,1082,1541,2623,35,69
CUNDINAMARCA,UBAQUE,2182,5660,915,1197,2112,25,45
CUNDINAMARCA,UBATE,13247,30807,4922,7985,12907,66,274
CUNDINAMARCA,UNE,2954,6307,1296,1606,2902,15,37
CUNDINAMARCA,UTICA,1837,4700,616,1184,1800,19,18
CUNDINAMARCA,VENECIA,1213,3562,677,513,1190,8,15
CUNDINAMARCA,VERGARA,2317,7346,1147,1084,2231,45,41
CUNDINAMARCA,VIANI,1441,3867,726,673,1399,14,28
CUNDINAMARCA,VILLAGOMEZ,607,1915,198,375,573,17,17
CUNDINAMARCA,VILLAPINZON,5830,12800,1661,4039,5700,41,89
CUNDINAMARCA,VILLETA,9149,21862,3165,5842,9007,49,93
CUNDINAMARCA,VIOTA,3993,10358,1899,2006,3905,22,66
CUNDINAMARCA,YACOPI,3227,11457,1339,1772,3111,65,51
CUNDINAMARCA,ZIPACON,2066,4091,962,1071,2033,16,17
CUNDINAMARCA,ZIPAQUIRA,42955,82209,20348,21680,42028,120,807
GUAINIA,BARRANCO MINAS,372,1986,298,67,365,2,5
GUAINIA,CACAHUAL,25,338,17,7,24,0,1
GUAINIA,INIRIDA,5194,19789,2663,2436,5099,45,50
GUAINIA,LA GUADALUPE,0,175,0,0,0,0,0
GUAINIA,MAPIRIPANA,49,579,45,4,49,0,0
GUAINIA,MORICHAL (MORICHAL NUEVO),43,179,42,0,42,1,0
GUAINIA,PANA PANA (CAMPO ALEGRE),162,328,116,46,162,0,0
GUAINIA,PUERTO COLOMBIA,106,1207,60,45,105,1,0
GUAINIA,SAN FELIPE,154,835,85,59,144,5,5
GUAVIARE,CALAMAR,1537,5482,1079,417,1496,17,24
GUAVIARE,EL RETORNO,3630,9285,2048,1410,3458,47,125
GUAVIARE,MIRAFLORES,1013,4217,848,142,990,12,11
GUAVIARE,SAN JOSE DEL GUAVIARE,15714,37463,7157,7955,15112,189,413
HUILA,ACEVEDO,6214,18437,1432,4658,6090,45,79
HUILA,AGRADO,2779,6804,875,1849,2724,26,29
HUILA,AIPE,5537,14967,2491,2917,5408,58,71
HUILA,ALGECIRAS,5234,14338,2761,2306,5067,75,92
HUILA,ALTAMIRA,1016,2991,439,561,1000,5,11
HUILA,BARAYA,2307,5983,1206,1057,2263,27,17
HUILA,CAMPOALEGRE,10181,24718,3811,6134,9945,63,173
HUILA,COLOMBIA,2442,6752,952,1431,2383,33,26
HUILA,ELIAS,1355,3169,645,682,1327,14,14
HUILA,GARZON,18902,51641,6356,12101,18457,158,287
HUILA,GIGANTE,7184,18633,2668,4263,6931,65,188
HUILA,GUADALUPE,4581,12391,1331,3132,4463,35,83
HUILA,HOBO,2313,5571,1005,1250,2255,16,42
HUILA,IQUIRA,2901,6862,1110,1727,2837,24,40
HUILA,ISNOS,7723,18179,2041,5426,7467,101,155
HUILA,LA ARGENTINA (PLATA VIEJA),3009,9990,1291,1603,2894,46,69
HUILA,LA PLATA,13985,40433,4475,9191,13666,114,205
HUILA,NATAGA,1770,4497,604,1124,1728,22,20
HUILA,NEIVA,109294,255422,49083,58666,107749,479,1066
HUILA,OPORAPA,3174,7370,847,2246,3093,36,45
HUILA,PAICOL,2175,4738,604,1522,2126,22,27
HUILA,PALERMO,7831,20533,2901,4814,7715,37,79
HUILA,PALESTINA,3120,8509,1146,1876,3022,34,64
HUILA,PITAL,3658,9123,1016,2565,3581,22,55
HUILA,PITALITO,31240,89760,10660,19996,30656,179,405
HUILA,RIVERA,6495,16199,2919,3446,6365,40,90
HUILA,SALADOBLANCO,3447,8635,1420,1936,3356,38,53
HUILA,SAN AGUSTIN,8630,23344,2741,5652,8393,93,144
HUILA,SANTA MARIA,3330,7921,939,2318,3257,26,47
HUILA,SUAZA,3307,11911,1027,2183,3210,41,56
HUILA,TARQUI,4532,11492,1427,3015,4442,31,59
HUILA,TELLO,4139,10814,1899,2120,4019,37,83
HUILA,TERUEL,2584,6481,738,1799,2537,11,36
HUILA,TESALIA (CARNICERIAS),3431,7879,788,2559,3347,24,60
HUILA,TIMANA,6041,15078,1441,4471,5912,64,65
HUILA,VILLAVIEJA,2632,6524,1480,1086,2566,22,44
HUILA,YAGUARA,2983,6750,1137,1802,2939,5,39
LA GUAJIRA,ALBANIA,4139,16633,2333,1655,3988,87,64
LA GUAJIRA,BARRANCAS,6454,23913,4562,1806,6368,13,73
LA GUAJIRA,DIBULLA,4732,20549,3306,1309,4615,49,68
LA GUAJIRA,DISTRACCION,2522,8243,1587,892,2479,12,31
LA GUAJIRA,EL MOLINO,2510,6765,1644,836,2480,9,21
LA GUAJIRA,FONSECA,9006,25836,6402,2463,8865,40,101
LA GUAJIRA,HATONUEVO,4240,14034,2846,1304,4150,31,59
LA GUAJIRA,LA JAGUA DEL PILAR,1196,3839,861,320,1181,0,15
LA GUAJIRA,MAICAO,20773,120312,10766,9563,20329,257,187
LA GUAJIRA,MANAURE,3260,52567,1768,1418,3186,30,44
LA GUAJIRA,RIOHACHA,28290,111639,17613,10092,27705,287,298
LA GUAJIRA,SAN JUAN DEL CESAR,9392,31264,4484,4684,9168,66,158
LA GUAJIRA,URIBIA,3434,101417,1713,1658,3371,19,44
LA GUAJIRA,URUMITA,3225,7997,2042,1141,3183,10,32
LA GUAJIRA,VILLANUEVA,6044,18149,3490,2425,5915,50,79
MAGDALENA,ALGARROBO,2041,9422,1525,467,1992,21,28
MAGDALENA,ARACATACA,1550,26547,962,555,1517,8,25
MAGDALENA,ARIGUANI (EL DIFICIL),5634,21723,3393,2111,5504,79,51
MAGDALENA,CERRO DE SAN ANTONIO,2443,8394,2184,225,2409,11,23
MAGDALENA,CHIVOLO,3619,13108,2827,728,3555,25,39
MAGDALENA,CIENAGA,17804,81617,8629,8670,17299,388,117
MAGDALENA,CONCORDIA,2623,10564,2251,341,2592,15,16
MAGDALENA,EL BANCO,12568,46365,6883,5392,12275,141,152
MAGDALENA,EL PIÑON,3089,13197,2506,529,3035,32,22
MAGDALENA,EL RETEN,2903,12752,1932,800,2732,144,27
MAGDALENA,FUNDACION,9049,51126,4609,4308,8917,35,97
MAGDALENA,GUAMAL,4715,22148,2989,1643,4632,47,36
MAGDALENA,NUEVA GRANADA,3013,14283,1770,1205,2975,20,18
MAGDALENA,PEDRAZA,1926,8926,1340,552,1892,20,14
MAGDALENA,PIJIÑO DEL CARMEN,2505,7813,1557,902,2459,22,24
MAGDALENA,PIVIJAY,7378,28335,6313,933,7246,48,84
MAGDALENA,PLATO,9805,39220,6312,3303,9615,92,98
MAGDALENA,PUEBLOVIEJO,4022,20274,1957,1920,3877,108,37
MAGDALENA,REMOLINO,1943,7037,1716,200,1916,12,15
MAGDALENA,SABANAS DE SAN ANGEL,1868,10380,1090,728,1818,33,17
MAGDALENA,SALAMINA,1313,7454,738,557,1295,8,10
MAGDALENA,SAN SEBASTIAN DE BUENAVISTA,5094,15820,3903,1118,5021,32,41
MAGDALENA,SAN ZENON,2830,7946,2298,497,2795,21,14
MAGDALENA,SANTA ANA,4278,15232,2301,1913,4214,27,37
MAGDALENA,SANTA BARBARA DE PINTO,2156,7978,1737,383,2120,15,21
MAGDALENA,SANTA MARTA,94188,322962,49797,43163,92960,461,767
MAGDALENA,SITIONUEVO,2520,17808,1649,764,2413,88,19
MAGDALENA,TENERIFE,2974,9842,2469,438,2907,28,39
MAGDALENA,ZAPAYAN,2648,7739,2119,489,2608,19,21
MAGDALENA,ZONA BANANERA (SEVILLA),3622,42952,2307,1268,3575,22,25
META,ACACIAS,30284,56070,7978,21513,29491,130,663
META,BARRANCA DE UPIA,1762,4287,613,1104,1717,11,34
META,CABUYARO,1943,4569,718,1182,1900,13,30
META,CASTILLA LA NUEVA,6274,10531,1739,4350,6089,36,149
META,CUBARRAL,2032,4902,602,1385,1987,15,30
META,CUMARAL,7701,15494,2456,5099,7555,31,115
META,EL CALVARIO,686,1707,354,310,664,11,11
META,EL CASTILLO,2086,5374,1247,774,2021,31,34
META,EL DORADO,1371,2794,570,777,1347,11,13
META,FUENTE DE ORO,3815,9442,1556,2153,3709,31,75
META,GRANADA,19968,48638,7007,12415,19422,125,421
META,GUAMAL,5471,10375,1316,4078,5394,15,62
META,LA MACARENA,3108,7900,2238,800,3038,19,51
META,LEJANIAS,3054,7903,1287,1636,2923,39,92
META,MAPIRIPAN,1247,5394,697,505,1202,12,33
META,MESETAS,3045,7585,1843,1126,2969,30,46
META,PUERTO CONCORDIA,2264,5998,1198,974,2172,31,61
META,PUERTO GAITAN,8892,22483,2813,5637,8450,254,188
META,PUERTO LLERAS,2313,6338,997,1251,2248,24,41
META,PUERTO LOPEZ,9355,22839,2564,6618,9182,47,126
META,PUERTO RICO,3098,7957,1443,1553,2996,23,79
META,RESTREPO,6104,14935,2464,3557,6021,23,60
META,SAN CARLOS DE GUAROA,3654,7764,1179,2394,3573,22,59
META,SAN JUAN DE ARAMA,2292,5998,1064,1162,2226,18,48
META,SAN JUANITO,586,1263,309,263,572,6,8
META,SAN MARTIN DE LOS LLANOS,7901,17621,2162,5593,7755,47,99
META,URIBE,2214,4724,2036,140,2176,24,14
META,VILLAVICENCIO,159620,343296,56633,100830,157463,400,1757
META,VISTA HERMOSA,5103,12070,2593,2310,4903,74,126
NARIÑO,ALBAN (SAN JOSE),2984,6438,1244,1610,2854,65,65
NARIÑO,ALDANA,2656,5756,1298,1268,2566,38,52
NARIÑO,ANCUYA,2381,7235,1683,631,2314,32,35
NARIÑO,ARBOLEDA (BERRUECOS),2511,5703,1154,1236,2390,54,67
NARIÑO,BARBACOAS,4361,20859,3159,1063,4222,76,63
NARIÑO,BELEN,2419,5328,1418,934,2352,35,32
NARIÑO,BUESACO,6029,16930,2921,2914,5835,85,109
NARIÑO,CHACHAGUI,3897,9510,2377,1427,3804,43,50
NARIÑO,COLON (GENOVA),2807,6620,1573,1034,2607,73,127
NARIÑO,CONSACA,3541,8497,1969,1434,3403,55,83
NARIÑO,CONTADERO,1987,5544,1036,903,1939,23,25
NARIÑO,CORDOBA,3564,10104,2138,1301,3439,72,53
NARIÑO,CUASPUD (CARLOSAMA),2707,7169,1245,1382,2627,43,37
NARIÑO,CUMBAL,8853,23407,5421,3085,8506,131,216
NARIÑO,CUMBITARA,2462,6203,2119,299,2418,19,25
NARIÑO,EL CHARCO,5221,15747,4599,465,5064,97,60
NARIÑO,EL PEÑOL,2957,5357,2312,554,2866,33,58
NARIÑO,EL ROSARIO,2643,6649,2344,238,2582,19,42
NARIÑO,EL TABLON,4730,10814,2980,1557,4537,84,109
NARIÑO,EL TAMBO,5246,11253,3563,1476,5039,99,108
NARIÑO,FRANCISCO PIZARRO (SALAHONDA),1621,6308,1332,247,1579,15,27
NARIÑO,FUNES,2381,5549,1575,737,2312,38,31
NARIÑO,GUACHUCAL,4581,14068,2511,1938,4449,54,78
NARIÑO,GUAITARILLA,3153,10811,2255,800,3055,51,47
NARIÑO,GUALMATAN,2383,5077,1404,932,2336,15,32
NARIÑO,ILES,2369,6900,1430,857,2287,37,45
NARIÑO,IMUES,2129,6314,1156,912,2068,33,28
NARIÑO,IPIALES,32826,92217,15864,15842,31706,617,503
NARIÑO,LA CRUZ,5690,13571,2846,2652,5498,105,87
NARIÑO,LA FLORIDA,3227,8949,2292,848,3140,48,39
NARIÑO,LA LLANADA,1490,3376,996,400,1396,36,58
NARIÑO,LA TOLA,1975,4996,1710,234,1944,8,23
NARIÑO,LA UNION,7736,21535,3200,4247,7447,125,164
NARIÑO,LEIVA,2973,7254,2605,277,2882,47,44
NARIÑO,LINARES,3632,8485,3047,452,3499,69,64
NARIÑO,LOS ANDES (SOTOMAYOR),3279,7132,2426,723,3149,70,60
NARIÑO,MAGUI (PAYAN),2344,6221,2129,157,2286,24,34
NARIÑO,MALLAMA (PIEDRANCHA),1897,5984,1154,675,1829,30,38
NARIÑO,MOSQUERA,2234,5897,1975,224,2199,13,22
NARIÑO,NARIÑO,1673,4120,988,649,1637,15,21
NARIÑO,OLAYA HERRERA,3274,13572,2632,572,3204,34,36
NARIÑO,OSPINA,1803,5668,1102,637,1739,38,26
NARIÑO,PASTO,114341,279784,70354,41981,112335,501,1505
NARIÑO,POLICARPA,4257,9537,3690,461,4151,55,51
NARIÑO,POTOSI,3510,9425,1590,1809,3399,48,63
NARIÑO,PROVIDENCIA,1890,4259,1586,228,1814,50,26
NARIÑO,PUERRES,3292,7410,2191,997,3188,34,70
NARIÑO,PUPIALES,6033,14600,2820,3010,5830,63,140
NARIÑO,RICAURTE,3048,13557,1947,974,2921,79,48
NARIÑO,ROBERTO PAYAN (SAN JOSE),2365,8368,2135,198,2333,10,22
NARIÑO,SAMANIEGO,8666,22140,7072,1359,8431,69,166
NARIÑO,SAN BERNARDO,3171,6072,1892,1172,3064,57,50
NARIÑO,SAN LORENZO,4779,12768,2812,1711,4523,98,158
NARIÑO,SAN PABLO,3759,11317,2353,1221,3574,92,93
NARIÑO,SAN PEDRO DE CARTAGO,2148,5234,1058,989,2047,49,52
NARIÑO,SANDONA,6773,15906,4208,2346,6554,107,112
NARIÑO,SANTA BARBARA (ISCUANDE),2471,6997,2229,206,2435,12,24
NARIÑO,SANTACRUZ (GUACHAVES),1907,6875,1301,513,1814,54,39
NARIÑO,SAPUYES,1857,5628,1089,715,1804,21,32
NARIÑO,TAMINANGO,5014,13578,3792,1028,4820,100,94
NARIÑO,TANGUA,3198,9879,1659,1467,3126,26,46
NARIÑO,TUMACO,34266,121788,23534,9520,33054,503,709
NARIÑO,TUQUERRES,10320,34090,6384,3521,9905,147,268
NARIÑO,YACUANQUER,3352,8133,2169,1034,3203,61,88
NORTE DE SAN,ABREGO,6377,21133,2095,4149,6244,56,77
NORTE DE SAN,ARBOLEDAS,3096,6826,907,2078,2985,53,58
NORTE DE SAN,BOCHALEMA,2941,6046,1080,1786,2866,25,50
NORTE DE SAN,BUCARASICA,1498,4108,413,985,1398,30,70
NORTE DE SAN,CACHIRA,2634,6959,531,2060,2591,15,28
NORTE DE SAN,CACOTA,873,2156,413,432,845,4,24
NORTE DE SAN,CHINACOTA,5453,11426,1983,3351,5334,29,90
NORTE DE SAN,CHITAGA,2908,7562,1056,1729,2785,45,78
NORTE DE SAN,CONVENCION,3732,14827,2101,1411,3512,83,137
NORTE DE SAN,CUCUTA,245727,542712,83572,157742,241314,1325,3088
NORTE DE SAN,CUCUTILLA,2939,6168,938,1850,2788,79,72
NORTE DE SAN,DURANIA,1933,4279,1003,885,1888,13,32
NORTE DE SAN,EL CARMEN,3059,10030,1515,1388,2903,38,118
NORTE DE SAN,EL TARRA,3222,11167,2827,262,3089,41,92
NORTE DE SAN,EL ZULIA,8042,20243,2770,5024,7794,67,181
NORTE DE SAN,GRAMALOTE,1946,4850,632,1253,1885,23,38
NORTE DE SAN,HACARI,1839,6906,1562,184,1746,34,59
NORTE DE SAN,HERRAN,1192,3574,377,769,1146,18,28
NORTE DE SAN,LA ESPERANZA,3060,8292,1021,1941,2962,43,55
NORTE DE SAN,LA PLAYA,1574,6626,734,769,1503,32,39
NORTE DE SAN,LABATECA,1709,4905,877,782,1659,18,32
NORTE DE SAN,LOS PATIOS,28831,78165,7986,20494,28480,58,293
NORTE DE SAN,LOURDES,1299,3214,317,904,1221,25,53
NORTE DE SAN,MUTISCUA,1134,2664,499,605,1104,9,21
NORTE DE SAN,OCAÑA,27977,76057,10753,16720,27473,126,378
NORTE DE SAN,PAMPLONA,18963,43064,6506,12079,18585,85,293
NORTE DE SAN,PAMPLONITA,1842,3796,577,1178,1755,41,46
NORTE DE SAN,PUERTO SANTANDER,2236,13119,591,1607,2198,10,28
NORTE DE SAN,RAGONVALIA,1728,6440,422,1266,1688,17,23
NORTE DE SAN,SALAZAR,3156,7487,974,2029,3003,47,106
NORTE DE SAN,SAN CALIXTO,2607,6979,2393,121,2514,25,68
NORTE DE SAN,SAN CAYETANO,2244,6918,694,1509,2203,8,33
NORTE DE SAN,SANTIAGO,1459,3311,642,779,1421,8,30
NORTE DE SAN,SARDINATA,5913,17063,1991,3725,5716,78,119
NORTE DE SAN,SILOS,1392,3968,259,1100,1359,15,18
NORTE DE SAN,TEORAMA,2953,9725,2429,380,2809,45,99
NORTE DE SAN,TIBU,9182,31208,5847,3008,8855,99,228
NORTE DE SAN,TOLEDO,4310,12026,1311,2803,4114,61,135
NORTE DE SAN,VILLA CARO,1261,3727,297,920,1217,21,23
NORTE DE SAN,VILLA DEL ROSARIO,26839,79404,6360,20126,26486,78,275
PUTUMAYO,COLON,1912,4244,1072,804,1876,17,19
PUTUMAYO,MOCOA,13066,35245,7718,5105,12823,84,159
PUTUMAYO,ORITO,8226,25937,6165,1820,7985,86,155
PUTUMAYO,PUERTO ASIS,11158,41742,6267,4539,10806,145,207
PUTUMAYO,PUERTO CAICEDO,2878,8922,1947,802,2749,50,79
PUTUMAYO,PUERTO GUZMAN,3106,10561,2176,832,3008,41,57
PUTUMAYO,PUERTO LEGUIZAMO,3794,14436,2031,1695,3726,29,39
PUTUMAYO,SAN FRANCISCO,1998,4710,1069,849,1918,35,45
PUTUMAYO,SAN MIGUEL (LA DORADA),3487,11779,2816,559,3375,56,56
PUTUMAYO,SANTIAGO,2320,5929,1359,881,2240,32,48
PUTUMAYO,SIBUNDOY,4434,10309,2499,1783,4282,75,77
PUTUMAYO,VALLE DEL GUAMUEZ (LA HORMIGA),7917,23170,6655,1079,7734,78,105
PUTUMAYO,VILLAGARZON,5794,15777,2869,2757,5626,54,114
QUINDIO,ARMENIA,105002,247873,43835,59049,102884,913,1205
QUINDIO,BUENAVISTA,1028,2857,441,564,1005,6,17
QUINDIO,CALARCA,23963,58297,8767,14557,23324,262,377
QUINDIO,CIRCASIA,9364,21943,3343,5837,9180,53,131
QUINDIO,CORDOBA,1960,5090,872,1028,1900,25,35
QUINDIO,FILANDIA,4256,10343,1522,2627,4149,39,68
QUINDIO,GENOVA,2810,7384,987,1739,2726,29,55
QUINDIO,LA TEBAIDA,11156,27501,4032,6822,10854,98,204
QUINDIO,MONTENEGRO,11873,33103,3398,8140,11538,108,227
QUINDIO,PIJAO,2385,6022,815,1523,2338,13,34
QUINDIO,QUIMBAYA,12049,29792,4528,7156,11684,211,154
QUINDIO,SALENTO,2578,5762,853,1666,2519,27,32
RISARALDA,APIA,3800,10487,1265,2404,3669,47,84
RISARALDA,BALBOA,2032,5565,891,1074,1965,23,44
RISARALDA,BELEN DE UMBRIA,7133,21462,2639,4278,6917,73,143
RISARALDA,DOSQUEBRADAS,67458,154003,28055,37995,66050,364,1044
RISARALDA,GUATICA,3795,10351,1240,2443,3683,45,67
RISARALDA,LA CELIA,2457,6500,903,1462,2365,33,59
RISARALDA,LA VIRGINIA,12411,31403,4852,7229,12081,120,210
RISARALDA,MARSELLA,5602,15561,2067,3350,5417,88,97
RISARALDA,MISTRATO,3765,11096,1926,1716,3642,58,65
RISARALDA,PEREIRA,165775,393135,75063,87598,162661,836,2278
RISARALDA,PUEBLO RICO,2851,9245,1720,1008,2728,76,47
RISARALDA,QUINCHIA,8321,19821,4144,3734,7878,184,259
RISARALDA,SANTA ROSA DE CABAL,25498,59393,9970,14826,24796,184,518
RISARALDA,SANTUARIO,3775,12258,1473,2113,3586,70,119
SAN ANDRES,PROVIDENCIA,1210,4017,974,216,1190,16,4
SAN ANDRES,SAN ANDRES,8466,43864,4301,4097,8398,36,32
SANTANDER,AGUADA,361,1524,165,182,347,8,6
SANTANDER,ALBANIA,1200,3290,656,508,1164,21,15
SANTANDER,ARATOCA,2680,6477,1328,1251,2579,50,51
SANTANDER,BARBOSA,9191,24199,4413,4552,8965,64,162
SANTANDER,BARICHARA,2608,6261,1452,1085,2537,20,51
SANTANDER,BARRANCABERMEJA,77255,167609,38260,37440,75700,402,1153
SANTANDER,BETULIA,1503,3989,620,833,1453,11,39
SANTANDER,BOLIVAR,2845,8280,1400,1271,2671,76,98
SANTANDER,BUCARAMANGA,225567,495063,100143,122985,223128,457,1982
SANTANDER,CABRERA,695,1644,446,232,678,7,10
SANTANDER,CALIFORNIA,708,1676,152,532,684,5,19
SANTANDER,CAPITANEJO,1840,4870,672,1103,1775,33,32
SANTANDER,CARCASI,1651,3656,509,1058,1567,23,61
SANTANDER,CEPITA,943,1771,584,318,902,16,25
SANTANDER,CERRITO,2177,4803,949,1109,2058,37,82
SANTANDER,CHARALA,3582,9583,2148,1353,3501,28,53
SANTANDER,CHARTA,1339,3218,372,941,1313,8,18
SANTANDER,CHIMA,913,2338,558,299,857,25,31
SANTANDER,CHIPATA,989,4142,687,273,960,17,12
SANTANDER,CIMITARRA,9548,28154,3718,5480,9198,79,271
SANTANDER,CONCEPCION,1884,4893,642,1015,1657,165,62
SANTANDER,CONFINES,865,2348,321,524,845,6,14
SANTANDER,CONTRATACION,1371,2920,762,554,1316,25,30
SANTANDER,COROMORO,1594,4141,795,691,1486,41,67
SANTANDER,CURITI,3378,8217,1526,1741,3267,35,76
SANTANDER,EL CARMEN,4458,10715,1138,3114,4252,44,162
SANTANDER,EL GUACAMAYO,813,1590,539,234,773,17,23
SANTANDER,EL PEÑON,1328,3339,620,631,1251,32,45
SANTANDER,EL PLAYON,4361,11556,1157,3041,4198,59,104
SANTANDER,ENCINO,692,2123,405,244,649,17,26
SANTANDER,ENCISO,1345,3267,595,702,1297,18,30
SANTANDER,FLORIAN,1703,5159,1115,550,1665,16,22
SANTANDER,FLORIDABLANCA,87866,178805,36189,50640,86829,167,870
SANTANDER,GALAN,1082,2536,434,603,1037,14,31
SANTANDER,GAMBITA,1135,3239,603,497,1100,16,19
SANTANDER,GIRON,45814,105643,17099,28052,45151,114,549
SANTANDER,GUACA,2052,5140,766,1215,1981,33,38
SANTANDER,GUADALUPE,1567,4334,607,908,1515,22,30
SANTANDER,GUAPOTA,774,1834,381,357,738,9,27
SANTANDER,GUAVATA,1345,4470,808,495,1303,14,28
SANTANDER,GUEPSA,1462,4173,885,548,1433,9,20
SANTANDER,HATO,817,1825,464,310,774,24,19
SANTANDER,JESUS MARIA,1055,3248,645,375,1020,16,19
SANTANDER,JORDAN,399,1107,194,191,385,11,3
SANTANDER,LA BELLEZA,2250,5353,741,1464,2205,17,28
SANTANDER,LA PAZ,1217,4139,681,490,1171,17,29
